id,version,timestamp,lat,lon,name,is_in,place,tourism,created_by,bus,highway,operator,public_transport,admin_level,capital,capital_ISO3166-1,is_capital,is_in:country_code,is_in:province,name:ace,name:af,name:am,name:an,name:ang,name:ar,name:ast,name:az,name:bcl,name:be,name:be-tarask,name:bg,name:bo,name:br,name:bs,name:ca,name:ceb,name:cs,name:cv,name:cy,name:da,name:de,name:diq,name:el,name:en,name:eo,name:es,name:et,name:eu,name:ext,name:fa,name:fi,name:fr,name:fy,name:gd,name:gl,name:he,name:hif,name:hr,name:ht,name:hu,name:hy,name:id,name:io,name:is,name:it,name:ja,name:ka,name:kn,name:ko,name:ku,name:kw,name:la,name:lij,name:lmo,name:lt,name:lv,name:mk,name:mr,name:ms,name:mt,name:nah,name:nan,name:nl,name:nov,name:oc,name:os,name:pap,name:pl,name:pms,name:pnb,name:pt,name:qu,name:rmy,name:ro,name:roa-rup,name:ru,name:rw,name:sah,name:sc,name:scn,name:sco,name:sh,name:sk,name:sl,name:sq,name:sr,name:srn,name:sv,name:sw,name:ta,name:tg,name:th,name:tl,name:tr,name:uk,name:ur,name:vec,name:vi,name:vo,name:war,name:yo,name:yue,name:zh,name:zh-Hans,name:zh-Hant,population,rank,ref:LOCODE,source:population,wikidata,wikipedia,amenity,description,exit_to,is_in:country,is_in:continent,population:date,population:source,postal_code,alt_name,int_name,note:capital,name:bpy,ia_capital,name:sr-Latn,source:name:oc,addr:housenumber,historic,ele,natural,cargo,ferry,man_made,name:ce,name:ml,name:nn,access,barrier,motor_vehicle
9829766,6,2016-12-20T22:21:56Z,19.7790987,-70.4625291,Perla Marina,Cabarete,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9829772,1,2006-07-05T22:24:37Z,19.7835466,-70.4617385,Bohio Cabarete,,,hotel,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26241064,8,2020-07-05T18:58:51Z,23.1286568,-82.3883107,Hospital Fajardo,,,,,yes,bus_stop,"8,34",stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26242036,9,2017-04-23T03:31:18Z,23.012177,-82.3971187,Mazorra,,,,,yes,,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260255,5,2017-02-13T03:38:15Z,23.0452322,-82.3739534,Calle 100,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260259,8,2017-02-13T03:38:15Z,23.0388381,-82.3577286,Primer Anillo,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260361,6,2017-04-23T22:42:32Z,23.121121,-82.2670549,Monumental,,,,,yes,,,stop_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260414,6,2016-04-10T18:22:58Z,23.1462455,-82.2884551,Vía Blanca - Rotonda Cojímar,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260427,6,2016-04-10T18:21:10Z,23.1539917,-82.3203709,Estadio Panamericano,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26260432,4,2016-04-10T18:21:15Z,23.1564949,-82.3114018,Guiteras - Villa Panamericana,,,,,,motorway_junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
